ID,Hit,False Alarm,Miss,Correct Rejection,Accuracy,Precision,Recall,F
ID000,10,0,0,4,1.0,1.0,1.0,1.0
ID001,10,2,0,3,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091
ID002,5,1,5,4,0.6,0.8333333333333334,0.5,0.625
ID003,6,1,4,4,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764
ID004,9,1,1,4,0.8666666666666667,0.9,0.9,0.9
ID005,9,0,1,5,0.9333333333333333,1.0,0.9,0.9473684210526316
ID006,5,1,5,4,0.6,0.8333333333333334,0.5,0.625
ID007,10,0,0,5,1.0,1.0,1.0,1.0
ID008,7,0,3,5,0.8,1.0,0.7,0.8235294117647058
ID009,7,0,3,5,0.8,1.0,0.7,0.8235294117647058
ID010,3,3,7,2,0.3333333333333333,0.5,0.3,0.37499999999999994
ID011,5,0,5,5,0.6666666666666666,1.0,0.5,0.6666666666666666
ID012,6,0,3,5,0.7857142857142857,1.0,0.6666666666666666,0.8
ID013,10,0,0,5,1.0,1.0,1.0,1.0
ID014,8,0,2,5,0.8666666666666667,1.0,0.8,0.888888888888889
ID015,7,1,3,4,0.7333333333333333,0.875,0.7,0.7777777777777777
ID016,10,2,0,3,0.8666666666666667,0.8333333333333334,1.0,0.9090909090909091
ID017,9,1,1,4,0.8666666666666667,0.9,0.9,0.9
ID018,7,2,3,3,0.6666666666666666,0.7777777777777778,0.7,0.7368421052631577
ID019,3,3,7,2,0.3333333333333333,0.5,0.3,0.37499999999999994
ID101,10,0,0,5,1.0,1.0,1.0,1.0
ID102,6,1,4,4,0.6666666666666666,0.8571428571428571,0.6,0.7058823529411764
ID103,7,0,3,5,0.8,1.0,0.7,0.8235294117647058
ID104,10,0,0,5,1.0,1.0,1.0,1.0
ID105,7,0,3,5,0.8,1.0,0.7,0.8235294117647058
